

('SWEEP', '10', '10', '1', '00000408')
('115200', '1', '1', '00', '5050')
05
01
(65, 44)
(33, [293, 345.0625])
(34, [253, 347.625])
(35, [241, 350.125])
(36, [268, 352.875])
(37, [234, 356.25])
(38, [152, 358.9375])
(39, [154, 1.6875])
(40, [166, 4.25])
(41, [179, 7.125])
(42, [43, 19.75])
(43, [20, 31.4375])
(44, [28, 34.875])
(45, [42, 42.75])
(46, [33, 46.0])
(47, [33, 49.0625])
(48, [33, 52.6875])
(49, [38, 65.4375])
(50, [25, 77.9375])
(51, [25, 90.875])
(52, [8, 103.9375])
(53, [8, 113.6875])
(54, [7, 117.25])
(55, [10, 129.9375])
(56, [65, 142.5625])
(57, [67, 145.625])
(58, [81, 148.6875])
(59, [84, 151.25])
(60, [97, 154.125])
(61, [99, 157.0625])
(62, [106, 160.1875])
(63, [136, 169.4375])
(64, [121, 172.0])
(65, [119, 174.625])
(66, [114, 176.3125])
(67, [111, 178.9375])
(68, [115, 181.4375])
(69, [101, 184.375])
(70, [92, 186.875])
(71, [97, 189.5625])
(72, [96, 192.1875])
(73, [89, 195.0])
(74, [86, 199.1875])
(75, [84, 202.375])
(76, [75, 205.0625])
(77, [74, 208.25])
(78, [58, 211.4375])
(79, [60, 214.625])
(80, [66, 217.8125])
(81, [62, 220.5])
(82, [72, 222.5625])
(83, [102, 225.5])


(80, 55)
(0, [115, 176.125])
(1, [114, 177.8125])
(2, [120, 180.4375])
(3, [108, 183.25])
(4, [95, 186.25])
(5, [96, 188.875])
(6, [101, 191.875])
(7, [94, 194.3125])
(8, [90, 198.3125])
(9, [92, 201.5])
(10, [80, 204.6875])
(11, [68, 207.875])
(12, [65, 211.125])
(13, [67, 213.9375])
(14, [61, 216.625])
(15, [61, 219.4375])
(16, [66, 221.375])
(17, [88, 224.625])
(18, [99, 227.5625])
(19, [1, 240.4375])
(20, [202, 242.625])
(21, [167, 245.1875])
(22, [167, 247.875])
(23, [181, 250.4375])
(24, [186, 253.0])
(25, [200, 255.5])
(26, [321, 258.5625])
(27, [320, 261.625])
(28, [310, 264.6875])
(29, [312, 267.75])
(30, [308, 270.6875])
(31, [310, 273.75])
(32, [297, 276.6875])
(33, [284, 279.8125])
(34, [278, 282.375])
(35, [273, 284.9375])
(36, [287, 288.1875])
(37, [280, 291.1875])
(38, [274, 293.9375])
(39, [225, 303.0625])
(40, [311, 306.125])
(41, [320, 309.5])
(42, [346, 319.5625])
(43, [445, 328.0625])
(44, [416, 331.6875])
(45, [325, 334.5625])
(46, [319, 337.25])
(47, [308, 339.8125])
(48, [304, 342.3125])
(49, [294, 345.0625])
(50, [248, 347.75])
(51, [243, 350.5])
(52, [276, 353.1875])
(53, [221, 356.25])
(54, [151, 358.8125])
(55, [153, 1.6875])
(56, [166, 4.375])
(57, [182, 6.9375])
(58, [65, 19.75])
(59, [24, 31.375])
(60, [28, 34.4375])
(61, [30, 38.3125])
(62, [33, 41.75])
(63, [38, 45.0])
(64, [40, 47.875])
(65, [34, 50.9375])
(66, [33, 63.9375])
(67, [35, 76.375])
(68, [23, 79.4375])
(69, [8, 92.4375])
(70, [22, 105.3125])
(71, [12, 114.1875])
(72, [12, 127.0625])
(73, [48, 140.25])
(74, [69, 147.8125])
(75, [86, 150.375])
(76, [84, 153.3125])
(77, [103, 156.0625])
(78, [103, 158.9375])
(79, [139, 168.9375])


(80, 62)
(0, [63, 136.4375])
(1, [65, 146.9375])
(2, [83, 150.0])
(3, [83, 153.125])
(4, [99, 155.5])
(5, [103, 158.5625])
(6, [135, 168.3125])
(7, [115, 171.0])
(8, [123, 173.5625])
(9, [116, 176.3125])
(10, [112, 178.125])
(11, [116, 180.75])
(12, [110, 183.25])
(13, [97, 186.25])
(14, [96, 188.875])
(15, [99, 191.375])
(16, [93, 194.3125])
(17, [91, 198.5])
(18, [83, 201.5])
(19, [79, 204.6875])
(20, [78, 208.0625])
(21, [65, 211.125])
(22, [56, 214.3125])
(23, [60, 217.125])
(24, [63, 220.125])
(25, [71, 222.1875])
(26, [94, 225.125])
(27, [99, 228.25])
(28, [1, 240.9375])
(29, [191, 243.5])
(30, [171, 246.25])
(31, [171, 248.8125])
(32, [184, 251.875])
(33, [189, 254.4375])
(34, [248, 257.5])
(35, [327, 260.5625])
(36, [316, 263.3125])
(37, [311, 266.0])
(38, [308, 268.9375])
(39, [294, 272.0])
(40, [323, 274.6875])
(41, [288, 277.625])
(42, [280, 280.6875])
(43, [273, 283.4375])
(44, [271, 286.0])
(45, [282, 292.9375])
(46, [277, 296.5625])
(47, [254, 306.25])
(48, [312, 309.3125])
(49, [342, 319.375])
(50, [440, 328.25])
(51, [401, 331.8125])
(52, [319, 335.0625])
(53, [319, 338.125])
(54, [307, 340.625])
(55, [302, 343.375])
(56, [285, 345.875])
(57, [247, 348.4375])
(58, [249, 351.0])
(59, [277, 353.6875])
(60, [193, 356.75])
(61, [149, 359.4375])
(62, [153, 2.1875])
(63, [181, 4.9375])
(64, [171, 7.8125])
(65, [43, 20.625])
(66, [24, 31.9375])
(67, [27, 35.375])
(68, [34, 43.4375])
(69, [42, 46.6875])
(70, [29, 49.75])
(71, [30, 53.375])
(72, [48, 66.125])
(73, [18, 78.9375])
(74, [8, 91.375])
(75, [10, 104.1875])
(76, [9, 113.5])
(77, [7, 118.25])
(78, [55, 130.9375])
(79, [54, 144.1875])


